Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,MOQ,MOQ,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,Digi-Key,Mouser,,,,,,,,,,
1,C3225X5R1H106K250AB,TDK,C3225X5R1H106K250AB,https://octopart.com/c3225x5r1h106k250ab-tdk-26014113,C1,,,1,445-9074-1-ND,810-C3225X5R1H106K,Cut Tape,Tape & Reel,0.99411084,0.99411084,57497,19655,1,1,https://octopart.com/click/track?ai=8237&sig=098bad3&sid=459&ppid=26014113&vpid=63975399&ct=offers,https://octopart.com/click/track?ai=8237&sig=0d332bf&sid=2401&ppid=26014113&vpid=66164753&ct=offers,Arrow Electronics,C3225X5R1H106K250AB,Cut Tape,0.83763043,0.83763043,0.83763043,1875,1,https://octopart.com/click/track?ai=8237&sig=012a0e6&sid=1106&ppid=26014113&vpid=478102818&ct=offers,
1,C3216X7R1H105K160AE,TDK,C3216X7R1H105K160AE,https://octopart.com/c3216x7r1h105k160ae-tdk-26013974,C2,,,1,445-8904-1-ND,810-C3216X7R1H105KST,Cut Tape,Tape & Reel,0.34057501,0.34057501,72975,117706,1,1,https://octopart.com/click/track?ai=8237&sig=0e5d0d4&sid=459&ppid=26013974&vpid=63974835&ct=offers,https://octopart.com/click/track?ai=8237&sig=0783690&sid=2401&ppid=26013974&vpid=66164590&ct=offers,Arrow Electronics,C3216X7R1H105K160AE,Cut Tape,0.30605727250000003,0.30605727250000003,0.30605727250000003,10,1,https://octopart.com/click/track?ai=8237&sig=0606ccb&sid=1106&ppid=26013974&vpid=473449265&ct=offers,
1,C2012X7R2A223K125AE,TDK,C2012X7R2A223K125AE,https://octopart.com/c2012x7r2a223k125ae-tdk-68304558,C3,,,1,445-173669-1-ND,810-C2012X7R2A223KAE,Cut Tape,Tape & Reel,0.23932298,0.22091352,1981,1497,1,1,https://octopart.com/click/track?ai=8237&sig=0fa3e71&sid=459&ppid=68304558&vpid=245231057&ct=offers,https://octopart.com/click/track?ai=8237&sig=0d15690&sid=2401&ppid=68304558&vpid=254908999&ct=offers,Mouser,810-C2012X7R2A223KAE,Tape & Reel,0.22091352,0.22091352,0.22091352,1497,1,https://octopart.com/click/track?ai=8237&sig=0d15690&sid=2401&ppid=68304558&vpid=254908999&ct=offers,
1,C2012X7R2A223K125AE,TDK,C2012X7R2A223K125AE,https://octopart.com/c2012x7r2a223k125ae-tdk-68304558,C4,,,1,445-173669-1-ND,810-C2012X7R2A223KAE,Cut Tape,Tape & Reel,0.23932298,0.22091352,1981,1497,1,1,https://octopart.com/click/track?ai=8237&sig=0fa3e71&sid=459&ppid=68304558&vpid=245231057&ct=offers,https://octopart.com/click/track?ai=8237&sig=0d15690&sid=2401&ppid=68304558&vpid=254908999&ct=offers,Mouser,810-C2012X7R2A223KAE,Tape & Reel,0.22091352,0.22091352,0.22091352,1497,1,https://octopart.com/click/track?ai=8237&sig=0d15690&sid=2401&ppid=68304558&vpid=254908999&ct=offers,
1,C3216X5R0J107M160AB,TDK,C3216X5R0J107M160AB,https://octopart.com/c3216x5r0j107m160ab-tdk-25947769,C5,,,1,445-6008-1-ND,810-C3216X5R0J107M,Cut Tape,Tape & Reel,0.9757013800000001,0.9757013800000001,66543,22914,1,1,https://octopart.com/click/track?ai=8237&sig=0e24951&sid=459&ppid=25947769&vpid=63974598&ct=offers,https://octopart.com/click/track?ai=8237&sig=0b2eb01&sid=2401&ppid=25947769&vpid=66164528&ct=offers,Arrow Electronics,C3216X5R0J107M160AB,Cut Tape,0.8346849164000001,0.8346849164000001,0.8346849164000001,19,1,https://octopart.com/click/track?ai=8237&sig=09b0149&sid=1106&ppid=25947769&vpid=486097135&ct=offers,
1,C3216X7R1H105K160AE,TDK,C3216X7R1H105K160AE,https://octopart.com/c3216x7r1h105k160ae-tdk-26013974,C6,,,1,445-8904-1-ND,810-C3216X7R1H105KST,Cut Tape,Tape & Reel,0.34057501,0.34057501,72975,117706,1,1,https://octopart.com/click/track?ai=8237&sig=0e5d0d4&sid=459&ppid=26013974&vpid=63974835&ct=offers,https://octopart.com/click/track?ai=8237&sig=0783690&sid=2401&ppid=26013974&vpid=66164590&ct=offers,Arrow Electronics,C3216X7R1H105K160AE,Cut Tape,0.30605727250000003,0.30605727250000003,0.30605727250000003,10,1,https://octopart.com/click/track?ai=8237&sig=0606ccb&sid=1106&ppid=26013974&vpid=473449265&ct=offers,
1,1725656,Phoenix Contact,1725656,https://octopart.com/1725656-phoenix+contact-7573,CONN1,,,1,277-1273-ND,651-1725656,Bulk,Bulk,1.51878045,1.52798518,12035,7125,1,1,https://octopart.com/click/track?ai=8237&sig=0189256&sid=459&ppid=7573&vpid=1766924&ct=offers,https://octopart.com/click/track?ai=8237&sig=0924c51&sid=2401&ppid=7573&vpid=37625221&ct=offers,Omnical,238018364,Box,0.49,0.49,0.49,-2,1,https://octopart.com/click/track?ai=8237&sig=0237d02&sid=26605&ppid=7573&vpid=217793041&ct=offers,
1,1725656,Phoenix Contact,1725656,https://octopart.com/1725656-phoenix+contact-7573,CONN2,,,1,277-1273-ND,651-1725656,Bulk,Bulk,1.51878045,1.52798518,12035,7125,1,1,https://octopart.com/click/track?ai=8237&sig=0189256&sid=459&ppid=7573&vpid=1766924&ct=offers,https://octopart.com/click/track?ai=8237&sig=0924c51&sid=2401&ppid=7573&vpid=37625221&ct=offers,Omnical,238018364,Box,0.49,0.49,0.49,-2,1,https://octopart.com/click/track?ai=8237&sig=0237d02&sid=26605&ppid=7573&vpid=217793041&ct=offers,
1,RC0805FR-0732K4L,Yageo,RC0805FR-0732K4L,https://octopart.com/rc0805fr-0732k4l-yageo-9296745,R1,,,1,311-32.4KCRCT-ND,603-RC0805FR-0732K4L,Cut Tape,Tape & Reel,0.0920473,0.11966149,129496,15504,1,1,https://octopart.com/click/track?ai=8237&sig=0542a25&sid=459&ppid=9296745&vpid=34210020&ct=offers,https://octopart.com/click/track?ai=8237&sig=08ef8a6&sid=2401&ppid=9296745&vpid=198857934&ct=offers,Arrow Electronics,RC0805FR-0732K4L,Cut Tape,0.083763043,0.083763043,0.083763043,7937,1,https://octopart.com/click/track?ai=8237&sig=07b5b78&sid=1106&ppid=9296745&vpid=473551372&ct=offers,
